wkn,name,instrument_id
971129,Raiffeisen-Nachhaltigkeit-Rent R A,923198
971267,UniAsia,1429617
971604,JPM Euroland Equity A dist €,574632
971611,JPM US Smaller Companies A dist $,59081
971655,Templeton Glo Climate Change A Ydis €,332932
971660,Templeton Latin America A Ydis $,56726
971661,Templeton Asian Growth A Ydis $,43928
971670,ERSTE Stock Europe Emerging EUR R01 A €,60203
971759,JPM US Small Cap Growth A dist $,44627
971801,BGF Emerging Europe A2 €,50408
972046,Vontobel US Equity B $,1429614
972121,UniEuropa,1429623
972309,UBS (L) EF Small Caps USA $ P-acc,333049
972580,GAF Major Markets High Value A,47579
972629,HSBC GIF Chinese Equity AD,58106
972722,Vontobel Emerging Markets Equity B $,1429620
972840,Barings Hong Kong China A $ inc,47636
972857,AS Asia Pacific Equity A Acc $,42719
972880,Nestor Fernost B,56879
972996,GAF Emerging Markets High Value A,43964
973093,IQAM ShortTerm EUR RA,57347
973205,Raiffeisen-Osteuropa-Aktien A,50603
973242,DekaLuxTeam-Aktien Asien CF,1429629
973254,Fidelity ASEAN A $,1674570
973267,Fidelity Emerging Markets A $,1481289
973268,Fidelity Thailand A $,55394
973269,Fidelity Global Thematic Opp A $,332926
973270,Fidelity European Growth A €,48692
973280,Fidelity America A $,333055
973283,Fidelity Germany A €,53066
973285,Fidelity Pacific A $,58574
973346,Nordea-1 Nordic Equity BP €,52301
973348,Nordea-1 North American Value BP USD,58223
973678,JPM Emerging Markets Equity A dist $,44576
973778,JPM China A dist $,1483587
973909,Templeton China A acc $,1429626
974119,BGF World Gold A2RF $,49106
974129,Fidelity Indonesia A $,53744
974145,Schoellerbank Aktienfonds Value A,332875
974260,Davis Value Fund A,333076
974499,BGF World Technology A2 $,332911
974527,DWS OSTEUROPA,44996
974541,JPM India A dist $,50303
974564,Lupus alpha Sm. German Champions A,333214
974743,SEB Sustainability Nordic Fund C,923213
974873,HSBC GIF Indian Equity AD,45863
974879,DWS India,58481
974935,SISF European Smaller Comp. € B dis,333184
974968,ÖkoWorld ÖkoVision Classic C,54707
975007,UniNordamerika,1429005
975020,UniFonds -net-,1429008
975023,UniEuropa -net-,1429011
975027,UniGlobal -net-,1429014
975049,UniDeutschland XS,1429017
975165,UBS (D) EF - Smaller German Companies,44132
975222,Metzler European Equities Sust AR,1429020
975223,Metzler German Sm Comp Sust AR,1429023
975225,Metzler Global Growth Sust,1429026
975774,UniEuroAktien,1429029
975787,Uni21.Jahrhundert -net-,1429032
976286,Deka-Schweiz,1429035
976320,LF Sys European Equities R,1429038
976330,RWS Aktienfonds,1429041
976976,DWS ESG Top Asien LC,54962
976986,DWS Aktien Strategie Deutschland LC €,44573
976997,DWS Biotech,42401
977192,Deka-Digitale Kommunikation TF,1429044
977265,Siemens Global Growth A,73787
977298,ODDO BHF Algo Global CRW €,1429047
977301,DWS Global Emerging Markets Eq ND,51782
977479,Lingohr Systematic INVEST,55085
977700,DWS Concept DJE Globale Aktien,46640
977988,Amundi Aktien Rohstoffe A € ND,45662
978022,LBBW Aktien Europa,1429050
978041,LBBW Dividenden Strategie Euroland R,1429053
978174,ACATIS Aktien Global A,53720
978199,TBF Global Income € I,52403
978622,Deka-bAV Fonds,1429056
978984,Allianz Wachstum Euroland A €,332905
979075,WM Aktien Global UI B,47291
979076,HP&P Euro Select UI A,333166
979217,NORDASIA.COM,43028
