wkn,name,instrument_id
LS1PEX,Promont-European-Opportunity-Index,34184
LS3A1Y,Indexzertifikat auf German 30 Strategie ON-Index,536510
LS8HKR,Endlos-Zertifikat bezogen auf Mittelstand Dynamik Anleihen-Index,24629
LS8VSD,Endlos-Zertifikat bezogen auf den Value-Stars-Deutschland-Index,12989
LS5NT4,Endlos-Zertifikat bezogen auf A.Horst Invest Trade Index,911450
