wkn,name,instrument_id
A1806T,PM 2 05/09/36,268896
A180B3,LINGR 1 04/20/28,268899
A180EK,ENEXIS 0 7/8 04/28/26,241113
A180M3,ULFP 1 1/8 04/28/27,297220
A180M4,ULFP 2 04/28/36,297223
A180M5,HEIANA 1 05/04/26,268935
A180V9,SABSM 5 5/8 05/06/26,269136
A180VE,ABBNVX 0 5/8 05/03/23,268881
A180VH,UNANA 1 1/8 04/29/28,268956
A180VV,MCDONALDS CORP. 16/28 MTN,1508060
A180VW,ENGSM 1 3/8 05/05/28,268914
A180Z4,KERFP 1 1/4 05/10/26,269022
A18137,VIVFP 1 7/8 05/26/26,268854
A1813A,EUROCAJA RURAL 16-24,1558716
A1814C,LHNVX 2 1/4 05/26/28,269025
A1814W,ROMANI 2 7/8 05/26/28,307012
A1815P,VIESGO 2 7/8 06/01/26,268827
A18185,ABN AMRO BANK 16/22 MTN,1251396
A181CF,FCE BANK PLC 16/23 MTN,1508063
A181CH,DGFP 1 05/13/26,268902
A181L6,AIRFP 0 7/8 05/13/26,268938
A181L7,AIRFP 1 3/8 05/13/31,268869
A181MD,AZN 1 1/4 05/12/28,268923
A181MG,JNJ 1.15 11/20/28,269040
A181MH,JNJ 1.65 05/20/35,268065
A181MQ,PERNOD-RICARD 16/26,1584267
A181S6,KHC 2 1/4 05/25/28,269052
A181S8,TOTAL 3 7/8 12/29/49,268710
A181VY,CCE 1 1/8 05/26/24,450642
A181VZ,CCE 1 3/4 05/26/28,268800
A181ZP,4FINANCE 16/22,1251393
A18208,INDON 3 3/4 06/14/28,268779
A1821X,TEREOS FIN. GR.I 16/23,1341114
A1828X,SO 1.85 06/20/26,271044
A182FG,ENEL FIN.INTL 16/26 MTN,1368279
A182LD,ICADFP 1 3/4 06/10/26,269046
A182LG,HSBC 3 1/8 06/07/28,268791
A182PZ,DAAFIN 1.554 06/07/28,268788
A182UP,TENN 1 06/13/26,269055
A182UQ,TENN 1 7/8 06/13/36,269049
A182UV,AIFP 1 1/4 06/13/28,268719
A182VT,ANNGR 1 1/2 06/10/26,268758
A18304,ASML 1 3/8 07/07/26,306742
A1830R,TOTAL 0 3/4 07/12/28,306754
A1839D,PEP 0 7/8 07/18/28,306706
A1844R,RDSALN 0 3/8 02/15/25,306700
A1844S,RDSALN 0 3/4 08/15/28,306790
A184BG,UNICREDIT 16-24 FLR,1614615
A184MY,VOD 1.6 07/29/31,306805
A1851U,RCI BANQUE 16/23 MTN,1259169
A18534,SANFP 0 1/2 01/13/27,306709
A18544,TMO 1 3/8 09/12/28,306712
A185QA,EVKGR 0 3/8 09/07/24,306781
A185QB,EVKGR 0 3/4 09/07/28,306760
A185TT,KPN 1 1/8 09/11/28,307069
A185V0,CITCON 1 1/4 09/08/26,306802
A185V1,KO 1.1 09/02/36,306769
A185WP,DGFP 0 3/4 09/09/28,306745
A185XT,KLOECKNER+CO.F.S.16/23 CV,1395710
A1861E,GFCFP 1 01/30/29,306994
A1866K,VIEFP 0.927 01/04/29,342828
A1866M,CK HUT.FI.(16)II 16/24,1614654
A186FM,NOVO 1 5/8 09/20/23,306814
A186FQ,NOVNVX 0 1/8 09/20/23,306775
A186FR,NOVNVX 0 5/8 09/20/28,307120
A186GS,ENIIM 1 1/8 09/19/28,307081
A186HJ,BP CAPITAL MKTS 16/24 MTN,685800
A186JW,SPECTRUM BRANDS 16/26REGS,1546206
A186N0,LIFP 1 1/4 09/29/31,342819
A186TY,CAR 4 1/8 11/15/24,306976
A1871P,ALATPF 3 3/4 12/29/49,342495
A1871T,UNICREDIT 16/26 MTN,1614657
A18758,ENGSM 0 3/4 10/27/26,342726
A1875J,POLAND 1 10/25/28,342462
A1875K,POLAND 2 10/25/46,342690
A18781,UPS 1 11/15/28,342603
A18791,GOLDM.S.GRP 16/25 MTN,1251399
A187GG,BDC 4 1/8 10/15/26,342597
A187KE,AFFP 3 3/4 10/12/22,342795
A187L8,HERIM 0 7/8 10/14/26,361818
A187LC,EDF 1 7/8 10/13/36,342804
A187P0,EIB EUR.INV.BK 16/47 MTN,1546209
A187PB,SWFP 0 3/4 04/14/27,343116
A187QA,TELEFO 1.93 10/17/31,342477
A187QB,TENN 1 1/4 10/24/33,342702
A187RF,SANEFP 0.95 10/19/28,342807
A187TG,CRHID 1 3/8 10/18/28,342444
A187W1,GOOEUR 1 5/8 10/20/26,342498
A188ER,RAGB 1 1/2 11/02/86,342858
A188GH,MRK 1 3/8 11/02/36,342423
A188GQ,VZ 1 3/8 11/02/28,342468
A188JK,BNFP 1.208 11/03/28,342768
A188KH,ORAFP 0 7/8 02/03/27,342774
A188UY,DOV 1 1/4 11/09/26,342600
A188WH,ABESM 1 02/27/27,342852
A188WJ,STLNO 0 3/4 11/09/26,342654
A188WK,STLNO 1 5/8 11/09/36,342678
A188WW,BASGR 0 3/4 11/10/26,450675
A1899U,ZBH 2.425 12/13/26,342528
A189FL,ABBV 2 1/8 11/17/28,342576
A189GP,MYL 3 1/8 11/22/28,342531
A189JF,SZUGR 1 1/4 11/29/23,327187
A189JH,ARRFP 1 1/4 01/06/27,342759
A189JJ,ARRFP 1 7/8 01/06/31,342750
A189Q5,HEIANA 1 3/8 01/29/27,342675
A189UN,ASML 1 5/8 05/28/27,342606
A189UP,UBS GROUP 16/24,1452813
A189Z4,ENFP 1 3/8 06/07/27,342741
A189ZK,BOGAEI 1 3/8 12/05/26,342582
A189ZL,BOGAEI 2 1/4 12/05/36,342657
A18UTN,KENNEDY WILS.HLDGS. 2025,1341144
A18V14,ANNGR 2 1/4 12/15/23,221070
A18V3U,LRFP 1 7/8 12/16/27,221016
A18W15,PGB 2 7/8 07/21/26,221006
A18W1U,BGB 1 06/22/26,221026
A18WWS,POLAND 2 3/8 01/18/36,221002
A18WZC,ABNANV 2 7/8 01/18/28,221052
A18X4M,HON 2 1/4 02/22/28,241215
A18X6P,RAGB 0 3/4 10/20/26,241362
A18X6Q,RAGB 1 1/2 02/20/47,241317
A18X8P,MEX 3 3/8 02/23/31,342756
A18XFR,BEST IN PARK.KOFI 16-23,1424346
A18XK3,CAIAV 2 3/4 02/17/23,241098
A18XSF,EIB EUR.INV.BK 16/36 MTN,1453140
A18XVM,GS 3 02/12/31,221020
A18Y1D,HSBC 2 1/2 03/15/27,268566
A18Y3N,BRK 2.15 03/15/28,241077
A18Y3Q,PET. MEX. 16/23 MTN,1259208
A18Y8M,DT 1 1/2 04/03/28,241188
A18Y8N,DT 0 5/8 04/03/23,241242
A18YCQ,VOD 2.2 08/25/26,241155
A18YHR,TEMASE 1 1/2 03/01/28,241338
A18YN4,UNICREDIT 16/23 MTN,1614645
A18YPQ,BP CAPITAL MKTS 16/25 MTN,1614648
A18YV1,CCHLN 1 7/8 11/11/24,241257
A18Z22,MONDI FINANCE 16/24 MTN,1614651
A18Z2H,HUWHY 1 1/4 04/06/23,241146
A18Z2J,HUWHY 2 04/06/28,241284
A18Z3A,EDF 1 10/19/26,241299
A18Z3B,EDF 2 04/18/36,241158
A18Z75,BMW 0 3/4 04/15/24,241224
A18Z79,AIFP 0 3/8 04/18/22,241119
A18Z7V,PEUGOT 2-3/8_04/14/23,236154
A18ZC8,REEDLN 1 3/8 05/12/26,241140
A18ZCN,BRCORO 2 03/22/23,241179
A18ZDR,ABIBB 2 03/17/28,241266
A18ZDS,ABIBB 2 3/4 03/17/36,241152
A18ZN6,AXASA 3 3/8 07/06/47,241071
A18ZN8,NK 1 7/8 03/31/28,241137
A18ZPB,FCAIM 3 3/4 03/29/24,241350
A18ZSC,SANFP 0 5/8 04/05/24,241260
A18ZSD,SANFP 1 1/8 04/05/28,241191
A18ZZ8,FDX 1 5/8 01/11/27,241182
A19071,PET. MEX. 18/23 FLR MTN,1259214
A19072,PET. MEX. 18/25 MTN,1584300
A19073,PET. MEX. 18/29 MTN,1271081
A1907N,MYLAN 18/25,1614678
A1909T,NETFLIX 17/27 REGS,1368300
A190E9,TEVA PH.F.NL.II 18/22,685836
A190FK,TEVA PH.F.NL.II 18/25,685839
A190PQ,BEST IN PARK.KOFI18-28MTN,1424352
A190RB,NITROGENM.VEGY.18/25 REGS,1341171
A1914X,BEST IN PARK.KOFI18-25MTN,1424355
A1919E,OMV AG 18-UND. FLR,1424976
A191F3,EIB EUR.INV.BK 18/32 MTN,1531726
A191M4,VB WIEN 19/UND FLR,1341099
A191QQ,SYDBANK 18/UND. FLR,1341159
A1928Q,NOVO BANCO 18-28 FLR,1271042
